sa-hash,a-hash,artist,song,count
d25194ae0451f52555f0f0fd2a27a21e0a24e9edd7df94d599f9eebb676b4177,4be5315c00fedd738801585d5272ff1b56717f07b3fd7cddb7d345d18a68ea4d,Blondie,Denis,12
7970fa68faeeb3716ee898de09343917cf7e9560291b97662972e16e1ffd67fe,07f8b5248d0cd67004dab788c1365527aa273686c65132747399b6fb8e2d323b,"Johan Becker","She's so high",15
19ae6e2f7c8fc70940c943feb581bd578ecff18622fb8602e42c15607085fb1b,ae20a729b6f3fcdfb18802763b0ae8e76bd5dfa7681d4bfe006f51863d3b8c53,"Gyllene Tider","Allt jag lärt mig om livet (har jag lärt mig av Vera)",34
8885de21c0b8866227c54a3397acb3e3b52bddfbe18708c4dbd42b08eb52b8fe,15b751fb52687e49a175e9d9bb50e3f7ce83403bb70633f575da4ccb0ba60b94,"Biffy Clyro",Opposite,27
4106bd73d07ebc59505c9a766814dbd6420f2a386ce8d6c61216c689b269a295,521689e308bc73b874536e919d3ab5fbdc8b30e16b33207c588a0c523399cfc8,"Joe Satriani","A Door Into Summer",1
3fc80863ad1ac14cf49e63f939732e4c067da10f438f5d6aa032834182bfb1f5,9fb4c0ae8fda472506b7bb8fbfe297300a8e38544d254b42cfe8c9d7e9fd1abb,"Status Quo","Down Down",1
2c72ce146eb13c8d18fccd68953f739ec143d9efc35ccbe30f86615509fa3341,b24cda89cf71289e7d36ad856d74cec30e01001acad1cbd4edbc6f9c5e2f3708,"Hampus Carlsson",Sommarplågor,1
5821fed4df6807417f167c3d5f76963d08a808539b2599d1407c435efe6d0b86,8f79deceeb651ebf8312d502a0a1625d5ff8126e146d7ebf78bc85edf52f38fb,"Nichelle Nichols","Feeling Good",1
af1b5b86371be5195d57185b151c5326f7ea130c0dce80523628dcda08d082f7,54b41964f4005057a8976e77522aa10fe38f1b1ddd06d96945ac77871745215e,"Rod Stewart","She makes me happy",20
5fab3b6d58d826bd30e8e8c3a28fa01d491a887c7d8afd6ba8db68dd75495805,9fb4c0ae8fda472506b7bb8fbfe297300a8e38544d254b42cfe8c9d7e9fd1abb,"Status Quo","Bula bula quo",33
e9a5ec95cd945304cf535fa113c10f5cf341a916859aea3869aec3d30ed0e877,060abbc69a87a0682d98e8eab02b047e306c8b7c82819aa2b0131239f395e6cb,"Bob Marley & The Wailers","Waiting in vain",10
