s-hash,artist,song,count
5a38ac71c5d2460330d6be7b8627c5c0ad550f33de6b6a56c75bf9940c1ab765,Muse,"Follow me",107
a0ba7929b708f2d4dd40a718c5f5c76e4ece47d2b927ceef92ccd997ab84c120,Mika,"Relax (Take it easy).",72
7df358a654e08ea31ffe1b94857f54d340528ec4578d6580205cee926240b027,"Aloe Blacc","I need a dollar",90
8353d290db6b04414a973c83673f734b246b38c211862a0767cc3ff97c06db88,"Kylie Minogue","Red blooded woman",4
5120923df516f38048ed5bd5a1e577af301408a8104da92d4da13935cafe3ddb,"Billy Talent","Fallen leaves",69
3925eac3ba812ebb38c66370b43de358de32d28c14a7d1c13259ffd6d42ca85d,"Lorentz & M. Sakarias",Mayhem,103
a96f496b517932f2d1f48cb97ba5bbd5e6efcdd6c0e6aefaf20b530aa93f3977,"Avenged Sevenfold",Nightmare,77
128c48542d8f4a97c251b916d5930b8c20615143ac9606bd42d5ec035d7e50f1,"Jack Johnson","You and your heart",18
009f8b305af8a92e3ded44d4301d19fc84d33012e1fd1eba0a3a26984c701fca,"Disco Ensemble","Eartha Kitt",67
e4ee893c0b004dd239348ba43cb3efef0b819d547a11e3a459f3676aef748af3,Nause,"Hungry Hearts",114
3221dd94b229fb8e444f58e8f246929521d3945ca1f34c9825dc4e0c42a9432b,"Macklemore & Ryan Lewis & Wanz","Thrift shop",136
566b3552085642a3a9701c35125fa32fa21ab5dc9ac447ebb0cb887f6d9e9c51,Mgmt,Kids,79
81b7f1cc0b974b1b95ebaf078c764351806b65282d6f98a14934cc729a92837f,Timshel,"When we fall",84
9681fddd5d8f5d8a86ff0f58175073998d2b20b4da792b7f813eb45ebaabc45d,"Wiz Khalifa","Black and yellow",62
9222989c8d59bcf371bfcaef276e13642e48e37674a10cab636ca1485353c800,"The Cranberries","Ode to my family",8
61692ebce77f35609324fd5a6339a5883be35f7c264d19a95b66682a3a5a7a46,"Fall Out Boy","Thnks fr th Mmrs",81
2c44286d69bdfce429374a25536b195261840d146ab9e0a421a180885a39ed26,"Britney Spears","I wanna go",47
cfdc387f93e94484b7c64eae7ff5f1d324ce5be31b1352bf3a614e6e2c028bc2,"Den Svenska Björnstammen","Vart jag mig i världen vänder",161
0b005dc24e483a86353bc5f278e1a9eb776f2ffdd1e8eac35cec1f2ec7cac866,"My Chemical Romance","Na na na",73
1f462d8c1b2e185f74a04935d9977379524c751affb279cd7894ccaffa8db552,Jamelia,"Beware of the dog",5
5ae3694a1cfa5371727739ddf89fed77ecd741914049fdcdf6104140a6b6d31e,"The Strokes","Under cover of darkness",29
332c961654b7095f9c58891ade8803d940ac88653a8f5c2b83bcfe966350217f,Donkeyboy,"Ambitions (Bassflow remake)",74
cb5be6460b020edffa2e072a79c48cc2255b36dc0f7c0fdb996d1beed4c93daf,"Duck Sauce","Barbra Streisand",26
94caba1929a8aae86bb42473970342ba10f486df22c2d2a644cd16471bc30086,Paramore,"Playing god",38
cc1d3c6974cd7c9c2687110706519c37ae8a216df2fef38249b9a612f60b15e5,"Little Marbles","Du är på repeat",93
6f07b7ed0086b40cdc9476d19c89b7b3ef76ecde2e83c88b12ceba2119e227c1,Hoobastank,"The Reason",57
7f08380f07ec50162c4977e2ed2b3ffeca4804158a59b25fe99fb288a6bb57d1,"Amanda Jenssen","Dry my soul",82
1fa0abff509f5e2bf73543ec90e95c1423ca6094b980aff21359d81ca4adae36,Passenger,"Let her go",205
44bccfe482fa0d154c348cbc7f9b64c186bdbc42cda8cda96919053a562b8bbb,Coldplay,Talk,15
4040accb496befb4bdfda3771af8675acc5e68f58ac0bf242e32cf0d5962018c,Kent,Columbus,10
3e823aba83d74f1627ecc49a96d43d25d5637ad7f9e4eef18cf7b654e1718156,"Bruno Mars",Treasure,175
b93a26b601ac5b3d82dc006fab75344e0ed40236e829de44c08a7cc5ac67d586,"Within Temptation",Faster,37
b257d26dd60c1582a8ca0876c34959cc02812e913d42eff2112e8c0afaa44890,Paleface,"Five emcees",40
f2c5d5df50d3824dca04301c056bbf44585591016e22c788056094aafef1706c,"Kings Of Leon",Pyro,40
f793eda61ae55e5c70d03c2014f58a2f60f1327a8b1eb4036e60f5443f11f4ef,"Laakso & Peter Jöback","Italy vs Helsinki",22
8f01d4934721c45cbaee9ebd262facb2a00906079e16abd2cea45da901e16807,"Lily Allen",Smile,83
357836573d406e73d32ed8688a08c9babc34305e6bab6647d1d57e6eeb7c36bf,Bastille,Pompeii,121
2022eb76d8a839af2d3d193c9a6fe97e1044b9505652ec2d1b2a6fb6e843cc0f,Panetoz,"Dansa Pausa",96
c221abdc4c0d9431943d8c70087a81d30202662f6988728e4bb8d49dea0c313c,"The Killers","When you were young",80
73fcac7adfd7c389f357febe3f393f4108b39f47c6d22652e77f3c8fba451ae9,"Chuck Berry","Johnny B. Goode",2
6e1d53c673baa7112fd0e8e14350f0b3d8541426f95938252a215baba1fb0bff,"Bonnie Tyler","Total eclipse of the heart",10
c329277bec0ff3e3aad6ff692e7903d4caa09d308daa7d0ed62377b0552add04,"Shakira & Freshlyground","Waka waka (This time for Africa)",39
4a824a8c0863e86fbefae6b70fab241f28d76c13f8f3ef2f6b08dcd47efbdb13,"The Hives","We rule the world (T.H.E.H.I.V.E.S.)",55
d9ff0ec178470ae6d0e49e7e78e537daeff6b8ed610de3dde80d567971d5ba94,"The Chemical Brothers",Galvanize,25
55924207b5a56a8ad7015d9509128cf22f884ab4ed87e7fde6cb2fdd2e981d67,"Good Charlotte","I just wanna live",37
c7f1ec0f04ceca42558d6b587a2130c0f1c025ae963669d0edb52576c407f917,"Hanna Pakarinen","Stronger without you",4
b84d9201528c907ecf44aa8f2d53e40540d49b03fd5cd2e549a23a2267ed2d7e,Muse,Uprising,86
316f46d190219f13efa835479a8f217d51bfb0670cfb9bedbe120a5beac13cf1,Hurts,Stay,88
df60d55a43ce90b00c49c743cc8dfd288c3cdbf43a25e92732a14d4376e00ce6,Paramore,Monster,63
0ab5a2c82ddb6ea5f3193e7ba658b9b54da3225f4961622ba5188815d1e61933,Aqua,"Barbie girl",6
d679d827adcb3a5e5bc10309e48d36591339aa4a067b60d92f0f091765a67660,"Justin Bieber","As Long As You Love Me",62
2d5711fa24abe66480dfb8ee6091cda5081a42c2dd50fa39e7b10df9963f0904,"Studio Killers",Jenny,343
8f90beef456d8e8e5de8536713a3158c4afc68be388d61c7fb39635d946b4eae,"Jutty Ranx","I see you",149
601d50e8167c031376487d20795f0a9bc376e7052fd37ea26829db28e1dbd752,"Krista Siegfrids","Marry me",15
dfb8ba81d44c28628536fdf03f0215d488cf26818407b79e8b8842f3d5b2f912,"Bring Me The Horizon",Sleepwalking,8
01db21c335baef5295c394b8948d125dca004477263c85ed5066f8d63b2b5425,Hellogoodbye,"Here (In your arms)",6
583c63d38d9a5b80cb811fb2b911042877977d51877299dcb0666d0ebffa1439,"The Roots","The Seed",20
0323a64633757a1ca67e3ff55be5ddab69160979bb4e6ac18f050f4a544112e6,"Kanye West","Heard 'em say",64
e438213ac8f492a59d7019751dde6bf8b24dde20cb2f97cb8ebd8f6b4d5f7771,"Electric Six","Gay bar",29
6385df5e664e9f6664f6b6e9f41f35825f778734e06cbd3500a13e2d0e900e78,"Nicki Minaj",Starships,111
b4435c88540ea135e95252562da064695ca22641c91a7298ef20655ba68c643f,"The Fratellis","Chelsea dagger",17
99ea12736b7321aacf4110f53c6ad3e08820698b5f25b210efa3b65fb9bc8b29,"David Guetta & Sia","She wolf (falling to pieces)",21
22a90a5c3d145f19d05ca21de7959b00f3b46b5fe596a7b93de0217e677b74c6,"Bryan Adams","Summer of '69",16
0f23246356371a647f442bbe635a78a11888c9e5aac564e0d7868a84dc7454b0,"Empire Of The Sun","We are the people",88
39ebbf8af4f7d5846c7db45b5d779cbfd6b880630be05e8e0111f770bc031460,"Rick Astley","Never gonna give you up",6
485add9e5ec0b4084c7c10b7ec7e2b9f8903b03a4e954c91b22806ca4fd51a45,"Gnarls Barkley",Crazy,130
e4c365f71805dc9ceb58361f457a1f1bd471fa4fac733b4edf3aa9969ebbdf0b,Ac/dc,"You shook me all night long",9
15205e1e89e79d1d336a0d5f645757fff4d5df33baa2fc2afb186e8fbe47ac05,"Alice Cooper",Poison,8
9e87ca83c95d2c72abd8d5bdaaa02165609ccd5b881e26e7cfed76b9f5ef37a3,"Eddie Meduza","Mera brännvin",21
15f43feb1a0feaf2f4d283f77a6682d75b5a9dfe0ca156c79c9c6a94e3259801,"The Sounds","Shake shake shake",66
8dee8d5544a20d0a2221be920c667551729a3da9629bfabad0a3dd60d47595c0,"Gyllene Tider",Sommartider,22
47825bfa6b163338aed86452c8c79981a27e4dd27d226dc94ca1ab87c329c9b1,"Michel Telo","Ai se eu te pego",31
9a23652196689a0e388d9ef0197fe6db0cf0b9e2e41118550985fa0dd346c523,"Näääk & Nimo & Melo",Jetlag,9
203b034f882e979316c655da18d0073e1e0b2759fa704538e478970c7c0e8700,Metallica,"Nothing else matters",20
e0ed0100cae73e24ceafeb56e145e37350fe24e7ee2ec9188587008e23c5bdd5,"Midnight Oil","Beds are burning",3
c54bb82386e025ec8648b9f8d86a902beaa266b4add1cc348d69939586519fe5,"Sak Noel","Loca people (What The F**k!)",5
3a1d9ff94dbfb068b997577c9c232eeaf00aadd55ddb90921619e987e16391e2,"30 Seconds To Mars","Kings and queens",79
037f3d2387457316a1b2bf4eb092d0c472298210b857e4236cf7eb36c6df6d4d,"Bullet For My Valentine","Hearts burst into fire",48
1a58d8f5740dd348121afd2b1c882cea0b5a60b5ba16ac6f9d9c7b3f3369f9ee,"The Script","The Man who can't be moved",85
f6292c6c371f2ea77545d4ac9b7f5c02361bf97e7dee33ab54cb6307c5b86a56,"Black Eyed Peas","Hey mama",15
fccd22c77dbd03aeca890112bbc29d8460db72bc713f8ab9d98b368241d516e0,Him,"Wings of a butterfly",33
2b76dee20a7b666baf64dceb578715b3e7a087a3e241062b25aec0e430278c09,"50 Cent","Disco inferno",4
ea34325ebffeb3f4652dca106099de67c04926fc37c328d8edf17a11d6488608,"My Chemical Romance","I don't love you",77
92bb9f990af58667d90e9e17b51028a9b7367b79de36cc432bd2ceecdfece0d8,"Snow Patrol","Called out in the dark",75
a6a4b0119806caa3cf838c35b6363211b8e4164ace38717db6643924a850113c,Duffy,"Warwick avenue",42
b2f0ef399a1da237fe4d1626314aee28e2c99f1852b8aae3b5465073e995c7fa,"Marina & The Diamonds","I am not a robot",109
100d4834e410590201c42dd0464ec17d4a06cd07464a7409b2bc7ac201c02346,Volbeat,"Cape of our hero",5
b091a4b4a411dda31303b31b002751ad9906adb9cab64fc34cd0ee237e1dd42b,Mustasch,"Down in black",44
d7bd49232b0fb28b2ed1f18eaddfb70a7398daff27a2c17886fd273de60b4b49,"Reckless Love","Beautiful bomb",85
2cf3ea668243486ba04dd3585e5fa447784e9d8be5c2dfd1435a844274239e1e,"Anna Abreu","Be with you",5
eb3002ee5067f17e17594da8d9f0965d6e71a7d7a02d626edc07de846336bffd,"The Hellacopters","By the grace of god",49
d58b9423eaae9ddf0ca6872b8690969b54d2a8cea05047ee076de9e8df819212,"Timbaland & One Republic",Apologize,40
44d65b6485ce073ab9b4cb73e0e535d321edb4700cb6984078f3f83071db9aa7,Linkoban,"Popgun Track",1
cc7bd5ed807191b7c245b813f9d469ceabfd9a3d874cd8f0b81a56f817708f9f,Gossip,"Heavy cross",109
ad4c44005b2bf77ccf8cb026bbfa789b6ec559b563ec02d305266684c71109ee,"Plain White T's","Hey there Delilah",102
8bd17ef4631fded6c9c20d86a4849808ac9ee016dc540e13eecf7fad0dd5fdf2,Naked,"High on blue love",46
24d54f88502aeca426ad47627fdd6dfc50454da1c23c5ef60ca298e6b8232b07,"The Cardigans","Erase / Rewind",4
ac827ea81b37874f5da4788528f85d3a2f0e7f36e9cf114fb82ce6ae5aa4d672,Shakira,"Did it again",24
4768da10be8c1131fbe738258227635ce4394400d964f158a4e8b5777c39588c,Mika,"Love today",24
2d40c7e6744da081d62f283cddcb57dc6daa6ed052ec013a23d6f9ca21582b10,"Poets Of The Fall","Dreaming wide awake",22
25852f286802ec49473fb528cc8e39700dbd4b5b03682e88a43f9017383e5240,"Maia Hirasawa","The Worrying kind",5
66a12409ac1921d1421e716fa728b8907f25a8195ff24b56a962bbf88f7488c1,"Veronica Maggio","Satan i gatan",132
d392139d23a79567e43fc23ddb70b5459bc2160fb6688150ed703de3eadcb1e5,"Hello Saferide",Anna,28
b42c0db0c6bf21b930e98792b01dec9efeffc1506b0de6d29109e73c230e45ea,"Erik Grönwall",Higher,21
e89ecde0b65485ae883cfddc40d17166805cdb28fd52dcbf23a59b0444f6b4d6,Muse,Starlight,93
7b80c1737387cd275de26a083c39601c5fd786d34ce3ef7163feb6eb2fffb259,"Blind Melon","No rain",8
540241794140c0a6ea74a69e408e934a5f2544aaf59a43263040a9a72662b6a3,"The Strokes","Last nite",41
37800cca6c6bff85ea909a2c79971ac3307669c79b5732d376ff2fccf1818335,Placebo,"Song to say goodbye",51
ba70b0612553ea8335613a6450dca53faaa6b2e14df92fd9ee180e0e83946e04,Muse,Madness,61
cd8e574fe4cb360aa50f908140b31b971dbe41fd3719258459718544a2b024bc,"Melody Club",Electric,13
e211907b97b5345c8d4b9eb9d61419891ac28667adcaba45ef72913bf2d36393,"Jay-z & Alicia Keys","Empire state of mind",157
85dc0e2a8fd9dd192743e04246fb89c6af56f2233abd69e38498f9f864f554ce,"Britney Spears","Gimme more",22
9f0948edb1347226400dd6e4997255c0af4ee781df68519ad610cc5188d67b02,"Bruno Mars","When i was your man",143
e48550892762219d511e85e6347e329e085ac05cdc72254031ff8819b8134995,"Bad Religion","Punk rock song",11
