sa-hash,a-hash,artist,song,count
8be8af2c097dcf48812d319439768cd5c37fb05eeba01d5fe91f31fe94299a64,58b04c8f796915e011835de56c50c4e03e43b9c7f733bf193e3960c7d37a0d63,Timbuktu,"Allt Grönt",133
631be3af29ea84aa090364e73afba9a3e06c7ca0e112f8ba2631dda595f791d1,58067453044a2c579547575e1e36ac8aa7e6deb087e70799d1fc4c1c06b78a02,"Pitbull & Christina Aguilera","Feel this moment",58
c9fdf68c46062d1c4873d303ae3663d0dc671307d6786965d7ea929a8afde88b,cf7a0a2877d41934c0549c7b0f5a482677a9e0a6ab2f8f44d06920feb78b4b4c,Skrillex,"Scary Monsters And Nice Sprites",93
e72dd0ebd9d3060602086231c105c6b1fa6763ecb448605ca95af63db6cd1778,407c713a7e86775afc1753d4678fed839d1712bdaca65611a6c1d33cfa2d0236,Maskinen,"Krossa alla fönster",125
85e255bec6db9ed1a199af508342b444f9bc7ad9be135d291c073d7f989dd277,5ea10374f43f3c043e2ea28970a396f5017f8875509da900622442ca85d588fd,"Tom Odell","Another love",41
ca01bde1a13cb642987ba73b2cabb2dbb17124ca422ad5b5f17dada534c89c74,690044fa6191d30ef8348b91bec4e939d367a1d3a389cbe01a11319a628707ec,"Green Day",Longview,32
1db2f568df28951c4beb0d3e936a8727a45b9c824b5475839905ebbfa85beeab,a00ed2d7a35499efd88e553ca5b62b6c6d65e840ddecb5eecbad07f8637f3a75,Milow,"You and me (in my pocket)",22
f1b062a1ee6316dff3b1c939d814b50ef12446ddcfcbf8b23a703f4963661661,6d3345015d1a49f4620af919d07722664781735466f9955bdd25da4a1749943e,"30 Seconds To Mars","Up in the air",17
e14aa5ebfddfb618328f619ca3ad5783d25fd8c0c4ff42b85c1cbe2c601dc43b,199e3918a2a0cdc793232299a9e8ed81d7918381fcf0bf4e89e06faf0a45766f,Madonna,"Hung up",45
dc6758e75837d09df9fdf46eddc48c84866bc381fb4854c0f055acf8cd14b572,258bb27090316e790deebfd160c25187fe808f64dc10ac4759c1aa9715bb13eb,"The Sounds","Painted by numbers",69
799b70857875f7c489f1b3e9098460d945f1595d52456274363574041c1a55d3,5049d5f360b4219e58f2a857f6d0280bee83249c569f82f997bcff3fdb4f0c01,"Phillip Phillips",Home,41
da3d4d44ca3acb56fa77db995f87818e597cfd44a84dbcd6701b7ef28bb01302,cf7cb4feff99ea9788933512d2bbae05eafcadbd5893b4f0dcdaedc4ba53e131,Lcmdf,"I go insane",5
73f50d406e0f1bac1c7e47c883090d4caec97c8e5736da8b62f87bf615f1b2b9,eeec16e8aeef1aefde660b5a4e2c488dbbfedb17c1c53ac337a9479e9a8d28e1,"James Morrison","I Won´t Let You Go",86
8152143fa5aed5aa8fc8db034e9538d7bc809209d763537e452bae9bdd4a6109,d96d14f5564eeb355178395b04cdb970c3dc8d01f54d1b7adf0288820457899c,Kent,"Max 500",11
e26493ae65eec7044b26090442b27ccd4ae92475d2867ad37079107e5aeff6ef,9d2b253bb56f66af1e065aad9e72eefa09d18d4c1ee1eaa59d2863ca2de29f43,"Kapten Röd","Saknade Vänner",108
